idema,anio,n,tx_p99,tx_max,d_tx30,d_tx32,n_verano,tx_verano,tmed,nombre
1473A,2017,349,34.903999999999996,37.1,34.0,14.0,92,27.200000000000006,14.951289398280803,Padrón
1473A,2018,355,35.61399999999998,38.5,38.0,17.0,92,26.120652173913044,14.436338028169013,Padrón
1473A,2019,348,33.5,35.2,20.0,10.0,89,24.874157303370783,14.100287356321841,Padrón
1473A,2020,351,34.3,36.5,33.0,17.0,90,26.127777777777776,15.006267806267806,Padrón
1473A,2021,362,33.8,36.8,19.0,10.0,92,25.639130434782604,14.407458563535911,Padrón
1473A,2023,360,33.341,36.8,18.0,10.0,91,27.093406593406595,15.203055555555556,Padrón
1473A,2024,366,34.68000000000002,37.3,31.0,15.0,92,27.53804347826087,15.369945355191259,Padrón
1473A,2025,361,36.239999999999995,39.8,47.0,31.0,92,28.990217391304352,15.494459833795014,Padrón
1475X,2005,352,34.149,34.8,17.0,9.0,89,25.32134831460674,13.735227272727274,Santiago De Compostela
1475X,2007,351,30.65,33.3,6.0,2.0,88,22.348863636363635,13.79088319088319,Santiago De Compostela
1475X,2008,360,29.405000000000012,33.0,3.0,1.0,90,22.56222222222222,13.516666666666667,Santiago De Compostela
1475X,2009,338,31.363,32.0,11.0,2.0,90,22.881111111111114,14.069526627218934,Santiago De Compostela
1475X,2012,353,33.348,35.7,12.0,8.0,89,22.9561797752809,13.779320113314448,Santiago De Compostela
1475X,2013,352,34.18400000000001,37.5,22.0,10.0,90,24.706666666666667,13.938068181818181,Santiago De Compostela
1475X,2014,357,31.028,33.5,8.0,3.0,92,23.48478260869565,14.373669467787114,Santiago De Compostela
1475X,2015,351,32.3,35.3,9.0,4.0,92,24.761956521739133,14.73817663817664,Santiago De Compostela
1475X,2016,365,35.30800000000001,38.7,23.0,12.0,91,26.192307692307697,14.43178082191781,Santiago De Compostela
1475X,2017,362,34.416999999999994,36.5,18.0,11.0,91,25.645054945054945,14.90082872928177,Santiago De Compostela
1475X,2020,358,33.9,35.2,25.0,11.0,91,24.8989010989011,14.912011173184357,Santiago De Compostela
1475X,2021,352,31.045000000000005,34.9,9.0,2.0,89,23.719101123595507,14.3625,Santiago De Compostela
1475X,2022,350,34.71799999999998,39.1,23.0,14.0,88,25.878409090909088,15.332857142857144,Santiago De Compostela
1475X,2023,359,32.510000000000005,36.0,13.0,5.0,92,25.279347826086955,15.433613445378151,Santiago De Compostela
1475X,2024,362,31.533999999999992,33.3,5.0,3.0,90,24.737777777777772,15.106077348066297,Santiago De Compostela
1475X,2025,358,34.243,35.8,25.0,14.0,92,26.643478260869557,15.298882681564246,Santiago De Compostela
1476R,2000,364,32.0,35.0,13.0,8.0,91,23.65934065934066,13.534340659340659,"Rois, Casas Do Porto"
1476R,2001,365,35.0,38.0,16.0,8.0,92,24.619565217391305,13.695890410958905,"Rois, Casas Do Porto"
